Week,Date,Lecture Topic,New Concepts (Greycen),Skill Building (Yufei),Campbell's Chapters
21,9/21/24,History and Digestion,Pentose Phosphate Pathway,Histology,40
22,9/28/24,Digestion and Excretion,Nutrient Metabolism,"PET, CAT, and MRI Scanning","41, 44"
23,10/5/24,Circulation and Respiration,"Cardiac, kidney, andRespiratory Math",EKGs,42
24,10/12/24,Immune System,Blood Histology and Hematology,Mouse Models,43
25,10/19/24,Endocrine System,Glucose Metabolism,Paper Review,45
26,10/26/24,Reproductive System,IVF,Cell Lineage Tracing,46
27,11/2/24,Development,Drosophila Development,Embryonic Manipulation,47
28,11/9/24,Nervous System 1,Neuronal Ion Channels,iPSCs,48
29,11/16/24,Nervous System 2,Greycen's Choice,fMRI,49
30,11/23/24,Sensory and Motor Systems,Pediatric Biology or Brain Disease,Voltage Clamping,50
31,11/30/24,Anatomy and Physiology Review,Muscle Physics,Paper Review (Case Study),NA
32,12/7/24,Plant Development,Mr. Stele yo girl,Plant Histology,35
33,12/14/24,Plant Transport and Nutrition,Vascular Math,Chromatography,"36, 37"
34,12/21/24,Plant Hormones,Hormone Synthesis,Protoplast Formation and plant transformation,38
35,12/28/24,Plant Technologies,Agriculture,Selective Breeding,39
36,1/4/25,Plants Review,Quantum Yield,Paper Review,NA
37,1/11/25,Ethology,Optimal Foraging Theory,Game Theory,51
38,1/18/25,Ecology I,Lotka-Volterra,Cohort Tables,52-54
39,1/25/25,Ecology II,Production and Productivity,eDNA,"55,56"
40,2/1/25,Overall Review,Final Tips,Paper Review,NA